date       ,market-price       ,mvrv                ,200w     ,market-cap               ,fees-usd-per-transaction ,fng
2010-08-24 ,    0.07           ,                    ,    0.07 ,       267620.5          ,0.000146596858638743     ,
2010-08-28 ,    0.07           ,                    ,    0.07 ,       270534.25         ,2.27138643067847e-10     ,
2010-09-01 ,    0.06           ,                    ,    0.06 ,       233542.5          ,1.26316105263158e-05     ,
2010-09-05 ,    0.06           ,                    ,    0.06 ,       235198.5          ,1.92926045016077e-06     ,
2010-09-09 ,    0.06           ,                    ,    0.06 ,       236866.5          ,2.02454171779141e-05     ,
2010-09-13 ,    0.09           ,                    ,    0.09 ,       419473.75         ,1.36674259681093e-11     ,
2010-09-17 ,    0.06           ,                    ,    0.06 ,       241831.5          ,0.0                      ,
2010-09-21 ,    0.06           ,                    ,    0.06 ,       244312.5          ,7.36196319018405e-12     ,
2010-09-25 ,    0.06           ,                    ,    0.06 ,       246787.5          ,0.0                      ,
2010-09-29 ,    0.06           ,                    ,    0.06 ,       248464.5          ,0.0                      ,
2010-10-03 ,    0.06           ,                    ,    0.06 ,       250114.5          ,1.22625e-06              ,
2010-10-07 ,    0.1            ,6.352666686780362   ,    0.1  ,       251771.75         ,0.0                      ,
2010-10-11 ,    0.1            ,6.542690027293884   ,    0.1  ,       465994.75         ,3.80232558139535e-10     ,
2010-10-15 ,    0.11           ,5.3589104884380525  ,    0.11 ,       513495.0          ,0.0                      ,
2010-10-19 ,    0.1            ,4.546034774549261   ,    0.1  ,       432105.0          ,0.0                      ,
2010-10-23 ,    0.18           ,5.7737309212504195  ,    0.18 ,       567193.25         ,8.62068965517241e-06     ,
2010-10-27 ,    0.19           ,6.45100266647534    ,    0.19 ,       823150.3125       ,0.0                      ,
2010-10-31 ,    0.2            ,6.011005506937716   ,    0.2  ,       889255.0          ,0.0                      ,
2010-11-04 ,    0.25           ,7.020204509403435   ,    0.25 ,      1166686.9375       ,0.0                      ,
2010-11-08 ,    0.32           ,5.564114300143121   ,    0.32 ,      1573733.6666666665 ,0.000750192307692308     ,
2010-11-12 ,    0.3            ,4.1348152405323635  ,    0.3  ,      1375387.5          ,0.0                      ,
2010-11-16 ,    0.28           ,3.8771180547532813  ,    0.28 ,      1318704.0416666665 ,0.0                      ,
2010-11-20 ,    0.29           ,3.857057272401248   ,    0.29 ,      1307220.8333333333 ,2.90528046024245e-05     ,
2010-11-24 ,    0.28           ,3.695404807510524   ,    0.28 ,      1314961.6666666667 ,1.47133434804668e-05     ,
2010-11-28 ,    0.28           ,3.6823726178032583  ,    0.28 ,      1322731.0833333333 ,0.0                      ,
2010-12-02 ,    0.26           ,3.0826489041714247  ,    0.26 ,      1153936.6979166665 ,2.98701298701299e-05     ,
2010-12-06 ,    0.23           ,2.9707342489969295  ,    0.23 ,      1157336.1354166665 ,2.15623234439834e-05     ,
2010-12-10 ,    0.23           ,2.808691194998351   ,    0.23 ,      1118575.7708333333 ,4.29333333333333e-05     ,
2010-12-14 ,    0.25           ,2.761962420971706   ,    0.25 ,      1222943.75         ,1.7664646310832e-05      ,
2010-12-18 ,    0.26           ,3.0534115267141426  ,    0.26 ,      1229906.25         ,3.32014171656687e-05     ,
2010-12-22 ,    0.25           ,2.8254159765939053  ,    0.25 ,      1335899.25         ,6.7473578028169e-05      ,
2010-12-26 ,    0.27           ,3.021647804125706   ,    0.27 ,      1347355.0416666665 ,4.49171726190476e-05     ,
2010-12-30 ,    0.3            ,3.257524912043058   ,    0.3  ,      1509262.5          ,4.62698764607679e-05     ,
2011-01-03 ,    0.3            ,3.1771855412827428  ,    0.3  ,      1517542.5          ,0.000193684579787234     ,
2011-01-07 ,    0.32           ,3.3343475045130306  ,    0.32 ,      1627528.0          ,1.56353807205453e-05     ,
2011-01-11 ,    0.36           ,3.311269513729314   ,    0.36 ,      1687562.25         ,1.16941582530949e-05     ,
2011-01-15 ,    0.4            ,3.8928945622561564  ,    0.4  ,      2262293.0          ,4.62193221221221e-05     ,
2011-01-19 ,    0.38           ,3.146322031653897   ,    0.38 ,      2136322.8333333335 ,1.99370409233998e-05     ,
2011-01-23 ,    0.44           ,3.7023098834346158  ,    0.44 ,      2298901.0          ,0.000139095001531531     ,
2011-01-27 ,    0.45           ,3.388103160216458   ,    0.45 ,      2258542.75         ,0.000296470588235294     ,
2011-01-31 ,    0.92           ,4.395849506109511   ,    0.92 ,      3220784.75         ,0.000260571428571429     ,
2011-02-04 ,    0.92           ,5.316518520128435   ,    0.92 ,      4524304.125        ,0.000100007101244813     ,
2011-02-08 ,    0.97           ,5.172651849564443   ,    0.97 ,      5202134.25         ,0.000186705178947368     ,
